STATE,CLUSTER,HOMEOWNR,GENDER,DATASRCE,RFA_2A,GEOCODE2,DOMAIN_A,DOMAIN_B,MINRDATE_MM,MAXRDATE_MM,LASTDATE_MM,FIRSTDATE_MM,HV3,HV4,ANC6,MHUC2,HPHONE_D,RFA_2F
IL,36,H,F,3,E,C,T,2,8,2,12,11,3,2,0,2,0,4
CA,14,H,M,3,G,A,S,1,10,12,12,10,12,10,1,4,0,2
NC,43,U,M,3,E,C,R,2,11,7,12,1,2,1,0,2,1,4
CA,44,U,F,3,E,C,R,2,11,11,12,2,2,1,0,2,1,4
FL,16,H,F,3,F,A,S,2,10,1,1,3,4,3,0,2,1,2
other,40,H,F,3,F,C,T,2,7,12,6,1,3,3,0,3,0,1
IN,40,H,F,3,E,D,T,2,5,10,4,1,3,3,1,2,1,1
other,39,U,F,1,E,C,T,2,7,8,8,1,3,3,0,2,1,3
other,45,U,M,3,F,D,R,2,9,12,7,1,2,1,0,2,1,1
other,35,H,M,3,F,B,T,1,9,4,4,9,3,3,0,2,0,1
other,53,U,F,1,F,D,R,3,2,2,2,2,2,1,0,2,0,1
IN,17,U,M,3,F,B,S,2,12,9,12,9,4,4,0,2,0,2
other,51,H,F,3,D,D,R,3,7,2,1,5,2,1,0,2,1,4
other,40,H,M,3,G,B,T,2,11,12,12,10,3,2,0,2,0,1
other,35,H,M,3,F,D,T,1,6,12,6,2,3,3,0,2,1,1
CA,2,H,M,1,F,A,U,1,1,12,12,1,9,9,0,4,0,1
MI,20,U,M,3,F,A,S,2,4,12,12,4,4,4,0,3,0,2
IL,43,U,F,2,G,C,R,2,6,12,12,1,2,1,0,2,0,1
FL,16,H,F,3,F,B,S,2,12,12,12,2,4,4,0,2,0,1
NC,27,H,M,3,F,C,C,2,7,11,7,11,1,1,0,2,0,1
other,12,H,F,3,D,A,S,1,1,4,3,1,8,8,0,2,1,3
MI,43,U,M,3,G,C,R,2,9,9,9,9,3,3,0,2,1,1
FL,40,H,F,3,G,C,T,2,12,6,6,10,4,5,0,2,0,1
IL,22,H,F,3,E,A,C,1,1,12,5,1,5,5,0,3,0,2
other,35,H,F,3,E,A,T,1,11,4,10,11,6,4,0,2,1,3
CA,35,H,M,3,F,B,T,1,9,1,8,9,3,3,0,2,0,2
IL,13,H,F,2,G,A,S,1,12,12,12,12,11,9,0,4,0,1
MO,35,H,M,3,E,D,T,1,1,9,12,1,2,3,0,2,1,3
TX,35,H,F,3,E,A,T,1,4,6,12,3,6,6,0,3,1,2
IL,40,U,F,3,E,A,T,2,3,9,11,2,2,2,0,2,1,3
TX,35,H,M,3,D,A,T,1,4,1,12,4,7,5,0,4,1,3
MO,8,H,M,3,F,A,U,3,2,6,2,6,5,4,0,2,1,2
NC,25,U,F,3,G,B,C,2,2,5,5,2,3,4,0,3,1,1
FL,15,U,F,3,F,A,S,1,5,12,11,2,5,5,0,4,1,2
other,40,H,F,3,F,B,R,2,12,5,12,12,5,5,0,4,0,2
other,42,H,M,3,F,C,R,1,1,12,12,3,0,0,0,0,0,1
TX,12,H,M,3,G,B,S,1,7,7,7,7,4,4,0,3,1,1
CA,11,U,F,3,G,A,S,1,10,5,8,8,11,10,0,4,0,2
other,17,H,F,2,F,A,S,2,4,6,12,1,4,4,0,2,0,3
other,36,H,F,3,G,D,T,2,2,10,10,9,2,3,1,2,0,1
IL,28,H,F,3,G,B,C,2,7,10,12,1,3,3,0,2,0,3
MI,2,H,F,3,E,B,U,1,10,10,1,7,5,5,0,3,0,2
WA,14,H,M,3,F,A,S,1,2,1,1,2,7,7,0,3,1,1
FL,35,H,M,3,F,A,T,1,1,12,12,1,8,6,1,3,0,1
